date,value
2014-01-01,115.6
2014-01-02,115.9
2014-01-03,115.81
2014-01-04,116.02
2014-01-05,115.89
2014-01-06,116.49
2014-01-07,116.71
2014-01-08,116.37
2014-01-09,115.93
2014-01-10,116.25
2014-01-11,115.98
2014-01-12,115.73
2014-01-13,115.95
2014-01-14,115.26
2014-01-15,114.94
2014-01-16,115.28
2014-01-17,115.23
2014-01-18,115.24
2014-01-19,115.2
2014-01-20,116.16
2014-01-21,115.66
2014-01-22,115.69
2014-01-23,117.04
2014-01-24,118.23
2014-01-25,118.7
2014-01-26,119.17
2014-01-27,118.98
2014-01-28,118.18
2014-01-29,118.86
2014-01-30,118.5
2014-01-31,119.45
2014-02-01,119.42
2014-02-02,119.45
2014-02-03,120.63
2014-02-04,119.69
2014-02-05,119.76
2014-02-06,119.08
2014-02-07,118.45
2014-02-08,118.3
2014-02-09,118.17
2014-02-10,118.53
2014-02-11,118.03
2014-02-12,117.65
2014-02-13,116.97
2014-02-14,116.29
2014-02-15,115.72
2014-02-16,115.82
2014-02-17,115.73
2014-02-18,115.1
2014-02-19,115.08
2014-02-20,115.38
2014-02-21,114.84
2014-02-22,114.6
2014-02-23,114.34
2014-02-24,113.78
2014-02-25,113.96
2014-02-26,113.68
2014-02-27,114.18
2014-02-28,114.05
2014-03-01,114.03
2014-03-02,114.18
2014-03-03,114.16
2014-03-04,113.76
2014-03-05,113.39
2014-03-06,111.79
2014-03-07,110.96
2014-03-08,110.75
2014-03-09,110.87
2014-03-10,110.21
2014-03-11,110.69
2014-03-12,111.22
2014-03-13,111.93
2014-03-14,111.95
2014-03-15,112.04
2014-03-16,111.86
2014-03-17,111.22
2014-03-18,111.48
2014-03-19,110.79
2014-03-20,111.68
2014-03-21,111.9
2014-03-22,111.81
2014-03-23,111.77
2014-03-24,111.4
2014-03-25,111.47
2014-03-26,111.82
2014-03-27,111.87
2014-03-28,110.86
2014-03-29,110.64
2014-03-30,110.58
2014-03-31,109.99
2014-04-01,109.2
2014-04-02,108.9
2014-04-03,108.96
2014-04-04,109.48
2014-04-05,109.49
2014-04-06,109.55
2014-04-07,109.7
2014-04-08,110.62
2014-04-09,110.56
2014-04-10,111.57
2014-04-11,112.23
2014-04-12,112.33
2014-04-13,112.39
2014-04-14,112.26
2014-04-15,112.29
2014-04-16,111.98
2014-04-17,111.62
2014-04-18,111.71
2014-04-19,111.59
2014-04-20,111.61
2014-04-21,111.61
2014-04-22,112.03
2014-04-23,113.05
2014-04-24,113.56
2014-04-25,113.39
2014-04-26,113.23
2014-04-27,113.32
2014-04-28,113.01
2014-04-29,112.71
2014-04-30,113.05
2014-05-01,112.93
2014-05-02,112.83
2014-05-03,112.74
2014-05-04,112.71
2014-05-05,112.73
2014-05-06,113.32
2014-05-07,113.41
2014-05-08,113.74
2014-05-09,113.39
