date,value
2014-01-01,12172.1
2014-01-02,12157.7
2014-01-03,12150.5
2014-01-04,12155.4
2014-01-05,12150.5
2014-01-06,12154.17
2014-01-07,12210.37
2014-01-08,12195.4
2014-01-09,12151.0
2014-01-10,12125.82
2014-01-11,12092.18
2014-01-12,12047.43
2014-01-13,11973.43
2014-01-14,11997.32
2014-01-15,11996.78
2014-01-16,12031.1
2014-01-17,12026.23
2014-01-18,12021.52
2014-01-19,12014.47
2014-01-20,12104.33
2014-01-21,12058.63
2014-01-22,12093.53
2014-01-23,12118.82
2014-01-24,12138.82
2014-01-25,12158.28
2014-01-26,12163.18
2014-01-27,12199.17
2014-01-28,12189.23
2014-01-29,12158.1
2014-01-30,12178.97
2014-01-31,12196.17
2014-02-01,12196.17
2014-02-02,12196.17
2014-02-03,12215.17
2014-02-04,12169.85
2014-02-05,12149.92
2014-02-06,12135.9
2014-02-07,12103.8
2014-02-08,12101.4
2014-02-09,12111.0
2014-02-10,12119.5
2014-02-11,12104.08
2014-02-12,12056.87
2014-02-13,11962.73
2014-02-14,11848.88
2014-02-15,11783.97
2014-02-16,11783.97
2014-02-17,11795.0
2014-02-18,11771.97
2014-02-19,11773.6
2014-02-20,11804.03
2014-02-21,11762.22
2014-02-22,11747.5
2014-02-23,11724.28
2014-02-24,11660.95
2014-02-25,11650.38
2014-02-26,11637.55
2014-02-27,11668.47
2014-02-28,11619.92
2014-03-01,11610.27
2014-03-02,11599.7
2014-03-03,11587.43
2014-03-04,11612.82
2014-03-05,11589.15
2014-03-06,11508.53
2014-03-07,11448.12
2014-03-08,11435.02
2014-03-09,11440.33
2014-03-10,11381.33
2014-03-11,11403.52
2014-03-12,11437.68
2014-03-13,11420.35
2014-03-14,11371.27
2014-03-15,11360.47
2014-03-16,11339.03
2014-03-17,11312.77
2014-03-18,11310.17
2014-03-19,11324.65
2014-03-20,11419.25
2014-03-21,11445.57
2014-03-22,11433.85
2014-03-23,11427.33
2014-03-24,11390.17
2014-03-25,11403.45
2014-03-26,11416.85
2014-03-27,11435.17
2014-03-28,11384.95
2014-03-29,11367.62
2014-03-30,11376.65
2014-03-31,11344.5
2014-04-01,11305.07
2014-04-02,11292.23
2014-04-03,11319.43
2014-04-04,11321.52
2014-04-05,11319.37
2014-04-06,11319.37
2014-04-07,11313.33
2014-04-08,11297.4
2014-04-09,11291.23
2014-04-10,11333.07
2014-04-11,11408.28
2014-04-12,11414.78
2014-04-13,11410.43
2014-04-14,11430.17
2014-04-15,11432.55
2014-04-16,11439.4
2014-04-17,11426.97
2014-04-18,11436.95
2014-04-19,11430.67
2014-04-20,11432.85
2014-04-21,11448.68
2014-04-22,11494.33
2014-04-23,11589.17
2014-04-24,11618.55
2014-04-25,11590.82
2014-04-26,11571.03
2014-04-27,11578.67
2014-04-28,11576.0
2014-04-29,11559.87
2014-04-30,11566.13
2014-05-01,11557.55
2014-05-02,11532.45
2014-05-03,11526.12
2014-05-04,11521.7
2014-05-05,11518.03
2014-05-06,11532.7
2014-05-07,11553.2
2014-05-08,11558.83
2014-05-09,11545.87
2014-05-10,11543.08
2014-05-11,11543.08
